date,value
2013-04-28,135.98
2013-04-29,147.49
2013-04-30,146.93
2013-05-01,139.89
2013-05-02,125.6
2013-05-03,108.13
2013-05-04,115
2013-05-05,118.8
2013-05-06,124.66
2013-05-07,113.44
2013-05-08,115.78
2013-05-09,113.46
2013-05-10,122
2013-05-11,118.68
2013-05-12,117.45
2013-05-13,118.7
2013-05-14,119.8
2013-05-15,115.81
2013-05-16,118.76
2013-05-17,125.3
2013-05-18,125.25
2013-05-19,124.5
2013-05-20,123.62
2013-05-21,123
2013-05-22,124
2013-05-23,126.93
2013-05-24,133.85
2013-05-25,133.22
2013-05-26,136
2013-05-27,135.47
2013-05-28,130.58
2013-05-29,132.59
2013-05-30,132.25
2013-05-31,129.9
2013-06-01,129.78
2013-06-02,129.4
2013-06-03,122.5
2013-06-04,123.84
2013-06-05,123.47
2013-06-06,123.1
2013-06-07,119
2013-06-08,111.42
2013-06-09,108.99
2013-06-10,110.1
2013-06-11,109.6
2013-06-12,111.79
2013-06-13,110.3
2013-06-14,104.7
2013-06-15,103.7
2013-06-16,101.6
2013-06-17,102.21
2013-06-18,111.11
2013-06-19,110.22
2013-06-20,114.3
2013-06-21,114.99
2013-06-22,109.96
2013-06-23,108.8
2013-06-24,108.33
2013-06-25,106.47
2013-06-26,105.49
2013-06-27,104
2013-06-28,101.74
2013-06-29,99.99
2013-06-30,98.12
2013-07-01,97.66
2013-07-02,92.3
2013-07-03,90.98
2013-07-04,83.11
2013-07-05,80
2013-07-06,75
2013-07-07,74.56
2013-07-08,80
2013-07-09,78.3
2013-07-10,87
2013-07-11,90.28
2013-07-12,104
2013-07-13,98.25
2013-07-14,98.7
2013-07-15,101.9
2013-07-16,99.86
2013-07-17,99.97
2013-07-18,98.8
2013-07-19,95.2
2013-07-20,93.1
2013-07-21,91.95
2013-07-22,92
2013-07-23,96.82
2013-07-24,95.99
2013-07-25,97.33
2013-07-26,97.47
2013-07-27,97
2013-07-28,100.58
2013-07-29,102.5
2013-07-30,107.99
2013-07-31,111.34
2013-08-01,108
2013-08-02,108
2013-08-03,105.78
2013-08-04,105.95
2013-08-05,107.77
2013-08-06,107.38
2013-08-07,106.75
2013-08-08,106.75
2013-08-09,105.75
2013-08-10,103.9
2013-08-11,105.19
2013-08-12,108
2013-08-13,109.35
2013-08-14,115
2013-08-15,113.25
2013-08-16,112.3
2013-08-17,113.75
2013-08-18,114.69
2013-08-19,123.06
2013-08-20,123.01
2013-08-21,124.91
2013-08-22,123.5
2013-08-23,122
2013-08-24,121.39
2013-08-25,122.99
2013-08-26,122.75
2013-08-27,127.24
2013-08-28,127.32
2013-08-29,123.7
2013-08-30,135.75
2013-08-31,140.89
2013-09-01,145.81
2013-09-02,146.5
2013-09-03,138.34
2013-09-04,144.5
2013-09-05,131.44
2013-09-06,127.34
2013-09-07,125.94
2013-09-08,124.72
2013-09-09,129.06
2013-09-10,129.74
2013-09-11,137.83
2013-09-12,136.08
2013-09-13,137.58
2013-09-14,135.85
2013-09-15,131.44
2013-09-16,132.72
2013-09-17,132.76
2013-09-18,133.2
2013-09-19,131.77
2013-09-20,135.62
2013-09-21,128.61
2013-09-22,133.94
2013-09-23,132.72
2013-09-24,127.46
2013-09-25,129.69
2013-09-26,134.93
2013-09-27,134.74
2013-09-28,135.63
2013-09-29,140.61
2013-09-30,138.35
2013-10-01,134.63
2013-10-02,133.59
2013-10-03,123.63
2013-10-04,130.09
2013-10-05,130.44
2013-10-06,129.66
2013-10-07,130.27
2013-10-08,127.47
2013-10-09,131.75
2013-10-10,131.5
2013-10-11,131.81
2013-10-12,135.66
2013-10-13,138.66
2013-10-14,144.12
2013-10-15,145.39
2013-10-16,152.23
2013-10-17,147.42
2013-10-18,155.96
2013-10-19,177.48
2013-10-20,174.91
2013-10-21,184.82
2013-10-22,196.27
2013-10-23,213.62
2013-10-24,217.42
2013-10-25,198.87
2013-10-26,188.41
2013-10-27,196.44
2013-10-28,198.62
2013-10-29,204.79
2013-10-30,209.16
2013-10-31,205.18
2013-11-01,206.65
2013-11-02,207.76
2013-11-03,215.05
2013-11-04,231.01
2013-11-05,250.66
2013-11-06,263
2013-11-07,304.17
2013-11-08,338.66
2013-11-09,370.82
2013-11-10,350.7
2013-11-11,351.27
2013-11-12,362.81
2013-11-13,414.05
2013-11-14,425.9
2013-11-15,437.89
2013-11-16,450.26
2013-11-17,500.58
2013-11-18,703.78
2013-11-19,806.11
2013-11-20,599.65
2013-11-21,733.4
2013-11-22,780.85
2013-11-23,844.97
2013-11-24,807.36
2013-11-25,810.68
2013-11-26,928.54
2013-11-27,1001.96
2013-11-28,1077.56
2013-11-29,1146.97
2013-11-30,1156.14
2013-12-01,1133.08
2013-12-02,1055.42
2013-12-03,1096
2013-12-04,1156.12
2013-12-05,1154.36
2013-12-06,1042.38
2013-12-07,854.64
2013-12-08,802.51
2013-12-09,921.93
2013-12-10,997.23
2013-12-11,1001.58
2013-12-12,901.94
2013-12-13,941.79
2013-12-14,904.65
2013-12-15,886.16
2013-12-16,882.25
2013-12-17,754.83
2013-12-18,679.32
2013-12-19,707.23
2013-12-20,729.16
2013-12-21,654.27
2013-12-22,666.74
2013-12-23,680.91
2013-12-24,684.39
2013-12-25,682.7
2013-12-26,777.75
2013-12-27,777.51
2013-12-28,747.06
2013-12-29,748.61
2013-12-30,766.6
2013-12-31,760.58
2014-01-01,775.35
2014-01-02,820.31
2014-01-03,834.15
2014-01-04,859.51
2014-01-05,952.4
2014-01-06,1017.12
2014-01-07,965.74
2014-01-08,870.68
2014-01-09,864.36
2014-01-10,871.19
2014-01-11,921.48
2014-01-12,928.52
2014-01-13,861.29
2014-01-14,855.69
2014-01-15,872.81
2014-01-16,866.16
2014-01-17,842.91
2014-01-18,841.49
2014-01-19,870.96
2014-01-20,886.39
2014-01-21,881.2
2014-01-22,870.15
2014-01-23,851.57
2014-01-24,822.43
2014-01-25,861.45
2014-01-26,897.02
2014-01-27,893
2014-01-28,832.5
2014-01-29,836.87
2014-01-30,830.5
2014-01-31,831.87
2014-02-01,853.52
2014-02-02,844.72
2014-02-03,826.48
2014-02-04,840.17
2014-02-05,837.32
2014-02-06,819.81
2014-02-07,783.2
2014-02-08,721.82
2014-02-09,712.27
2014-02-10,703.71
2014-02-11,712.46
2014-02-12,672.9
2014-02-13,657.99
2014-02-14,691.72
2014-02-15,661.84
2014-02-16,665.1
2014-02-17,656.95
2014-02-18,645.76
2014-02-19,631.77
2014-02-20,627.73
2014-02-21,582.96
2014-02-22,614.48
2014-02-23,639.91
2014-02-24,607.61
2014-02-25,541.38
2014-02-26,603.8
2014-02-27,594.05
2014-02-28,584.14
2014-03-01,573.38
2014-03-02,570.48
2014-03-03,702.91
2014-03-04,696.22
2014-03-05,674.28
2014-03-06,669.77
2014-03-07,665.34
2014-03-08,635.14
2014-03-09,643.95
2014-03-10,644.76
2014-03-11,638.42
2014-03-12,648.03
2014-03-13,644.2
2014-03-14,639.53
2014-03-15,639.14
2014-03-16,637.52
2014-03-17,632.68
2014-03-18,622.39
2014-03-19,622
2014-03-20,609.75
2014-03-21,604.59
2014-03-22,572.55
2014-03-23,570.24
2014-03-24,586.56
2014-03-25,585.44
2014-03-26,590.03
2014-03-27,580.56
2014-03-28,526.02
2014-03-29,504.86
2014-03-30,492.37
2014-03-31,483.02
2014-04-01,495.34
2014-04-02,495.05
2014-04-03,449.56
2014-04-04,454.65
2014-04-05,463.57
2014-04-06,466.32
2014-04-07,462.56
2014-04-08,457.42
2014-04-09,455.73
2014-04-10,443.37
2014-04-11,429.77
2014-04-12,439.61
2014-04-13,427.4
2014-04-14,469.75
2014-04-15,519
2014-04-16,542.38
2014-04-17,533.52
2014-04-18,498.6
2014-04-19,503.56
2014-04-20,510.87
2014-04-21,510.57
2014-04-22,503.22
2014-04-23,493.25
2014-04-24,500.46
2014-04-25,500.3
2014-04-26,464.54
2014-04-27,459.33
2014-04-28,447.53
2014-04-29,451.64
2014-04-30,451.1
2014-05-01,460.61
2014-05-02,457.93
2014-05-03,449.4
2014-05-04,439.77
2014-05-05,440.97
2014-05-06,448.04
2014-05-07,446.13
2014-05-08,448.4
2014-05-09,452.69
2014-05-10,455.77
2014-05-11,455.34
2014-05-12,442.26
2014-05-13,441.98
2014-05-14,446.66
2014-05-15,449.8
2014-05-16,450.66
2014-05-17,451.98
2014-05-18,449.77
2014-05-19,447.56
2014-05-20,491.44
2014-05-21,494.37
2014-05-22,525.36
2014-05-23,541.96
2014-05-24,525.17
2014-05-25,576.48
2014-05-26,588.39
2014-05-27,589.52
2014-05-28,578.62
2014-05-29,577.1
2014-05-30,618.46
2014-05-31,624.72
2014-06-01,671.51
2014-06-02,665.5
2014-06-03,674.11
2014-06-04,668.56
2014-06-05,663.53
2014-06-06,661.37
2014-06-07,656.94
2014-06-08,658.88
2014-06-09,657.7
2014-06-10,659.62
2014-06-11,657.04
2014-06-12,638.11
2014-06-13,615.14
2014-06-14,601.27
2014-06-15,592.94
2014-06-16,608.72
2014-06-17,610.89
2014-06-18,615.88
2014-06-19,612.24
2014-06-20,599.75
2014-06-21,599.46
2014-06-22,606
2014-06-23,603.21
2014-06-24,596.97
2014-06-25,583.6
2014-06-26,581.63
2014-06-27,600.12
2014-06-28,604.47
2014-06-29,604.08
2014-06-30,645.15
2014-07-01,657.86
2014-07-02,656.68
2014-07-03,650.77
2014-07-04,648.43
2014-07-05,633.22
2014-07-06,638.65
2014-07-07,637.16
2014-07-08,626.7
2014-07-09,627
2014-07-10,626.12
2014-07-11,632.09
2014-07-12,636.66
2014-07-13,634.73
2014-07-14,627.34
2014-07-15,625.14
2014-07-16,623.09
2014-07-17,626.29
2014-07-18,629.21
2014-07-19,629.17
2014-07-20,628.56
2014-07-21,624.09
2014-07-22,624.3
2014-07-23,624.43
2014-07-24,620.43
2014-07-25,607.07
2014-07-26,602.09
2014-07-27,598.94
2014-07-28,594.57
2014-07-29,588.38
2014-07-30,585.12
2014-07-31,586.24
2014-08-01,597.92
2014-08-02,594.91
2014-08-03,589.15
2014-08-04,591.95
2014-08-05,589.87
2014-08-06,587.49
2014-08-07,591.1
2014-08-08,598.12
2014-08-09,592.47
2014-08-10,594.46
2014-08-11,591.51
2014-08-12,576.95
2014-08-13,573.03
2014-08-14,546.24
2014-08-15,518.18
2014-08-16,521.48
2014-08-17,520.19
2014-08-18,499.37
2014-08-19,485.71
2014-08-20,518.28
2014-08-21,531.9
2014-08-22,521.48
2014-08-23,514.3
2014-08-24,512.89
2014-08-25,508.22
2014-08-26,512.69
2014-08-27,520.71
2014-08-28,516.16
2014-08-29,511.69
2014-08-30,509.31
2014-08-31,504.88
2014-09-01,485.31
2014-09-02,482.99
2014-09-03,481.71
2014-09-04,493.93
2014-09-05,490.64
2014-09-06,488.6
2014-09-07,488.07
2014-09-08,489.83
2014-09-09,477.38
2014-09-10,487.47
2014-09-11,482.35
2014-09-12,479.63
2014-09-13,482.12
2014-09-14,479.85
2014-09-15,478.62
2014-09-16,475.64
2014-09-17,468.17
2014-09-18,456.86
2014-09-19,427.83
2014-09-20,423.3
2014-09-21,412.43
2014-09-22,406.92
2014-09-23,441.56
2014-09-24,436.11
2014-09-25,423.52
2014-09-26,414.94
2014-09-27,406.62
2014-09-28,401.02
2014-09-29,385.21
2014-09-30,390.98
2014-10-01,391.38
2014-10-02,385.5
2014-10-03,377.69
2014-10-04,364.49
2014-10-05,341.8
2014-10-06,345.13
2014-10-07,339.25
2014-10-08,354.36
2014-10-09,382.73
2014-10-10,375.07
2014-10-11,367.19
2014-10-12,379.43
2014-10-13,397.23
2014-10-14,411.7
2014-10-15,402.23
2014-10-16,398.81
2014-10-17,385.48
2014-10-18,395.16
2014-10-19,393.94
2014-10-20,390.08
2014-10-21,392.65
2014-10-22,388.58
2014-10-23,385.05
2014-10-24,364.35
2014-10-25,359.86
2014-10-26,359.22
2014-10-27,358.63
2014-10-28,359.98
2014-10-29,357.83
2014-10-30,350.91
2014-10-31,348.05
2014-11-01,340.53
2014-11-02,329.05
2014-11-03,334
2014-11-04,331.77
2014-11-05,343.37
2014-11-06,352.97
2014-11-07,352.73
2014-11-08,347.03
2014-11-09,363.63
2014-11-10,374.82
2014-11-11,371.31
2014-11-12,429.72
2014-11-13,457.09
2014-11-14,419.25
2014-11-15,405.53
2014-11-16,390.8
2014-11-17,410.2
2014-11-18,392.4
2014-11-19,386.48
2014-11-20,382.02
2014-11-21,357.88
2014-11-22,364.84
2014-11-23,370.85
2014-11-24,387.21
2014-11-25,394.7
2014-11-26,377.7
2014-11-27,373.99
2014-11-28,382.84
2014-11-29,387.6
2014-11-30,382.53
2014-12-01,383.66
2014-12-02,384.04
2014-12-03,383.03
2014-12-04,378.65
2014-12-05,379.19
2014-12-06,378.45
2014-12-07,376.29
2014-12-08,376.03
2014-12-09,363.07
2014-12-10,352.38
2014-12-11,361.36
2014-12-12,352.98
2014-12-13,352.38
2014-12-14,353.32
2014-12-15,351.81
2014-12-16,345.86
2014-12-17,333.95
2014-12-18,323.71
2014-12-19,318.53
2014-12-20,330.32
2014-12-21,329.63
2014-12-22,334.12
2014-12-23,336.29
2014-12-24,334.74
2014-12-25,322.67
2014-12-26,331.42
2014-12-27,328.91
2014-12-28,320.03
2014-12-29,320.27
2014-12-30,314.81
2014-12-31,320.19
2015-01-01,320.44
2015-01-02,315.84
2015-01-03,315.15
2015-01-04,287.23
2015-01-05,278.34
2015-01-06,287.55
2015-01-07,298.75
2015-01-08,294.13
2015-01-09,291.11
2015-01-10,288.13
2015-01-11,279.64
2015-01-12,272.2
2015-01-13,268.28
2015-01-14,223.89
2015-01-15,229.07
2015-01-16,221.59
2015-01-17,211.73
2015-01-18,218.69
2015-01-19,216.73
2015-01-20,215.24
2015-01-21,227.79
2015-01-22,237.02
2015-01-23,234.84
2015-01-24,248.21
2015-01-25,255.07
2015-01-26,309.38
2015-01-27,275.48
2015-01-28,266.54
2015-01-29,238.71
2015-01-30,242.85
2015-01-31,233.5
2015-02-01,231.57
2015-02-02,242.18
2015-02-03,245.96
2015-02-04,230.06
2015-02-05,239.41
2015-02-06,230.51
2015-02-07,230.3
2015-02-08,229.44
2015-02-09,223.98
2015-02-10,221.81
2015-02-11,223.41
2015-02-12,222.2
2015-02-13,240.26
2015-02-14,259.81
2015-02-15,265.61
2015-02-16,239.52
2015-02-17,245.78
2015-02-18,244.25
2015-02-19,242.67
2015-02-20,247.1
2015-02-21,255.32
2015-02-22,246.39
2015-02-23,240.11
2015-02-24,239.9
2015-02-25,239.34
2015-02-26,237.71
2015-02-27,256.65
2015-02-28,254.69
2015-03-01,261.66
2015-03-02,276.3
2015-03-03,285.8
2015-03-04,284.23
2015-03-05,281.67
2015-03-06,277.61
2015-03-07,277.85
2015-03-08,277.86
2015-03-09,292.7
2015-03-10,300.04
2015-03-11,297.39
2015-03-12,297.09
2015-03-13,294.5
2015-03-14,286.34
2015-03-15,286.53
2015-03-16,294.11
2015-03-17,292.37
2015-03-18,285.34
2015-03-19,264.24
2015-03-20,264.85
2015-03-21,262.2
2015-03-22,269.75
2015-03-23,277.3
2015-03-24,267
2015-03-25,249.19
2015-03-26,254.35
2015-03-27,256.81
2015-03-28,254.21
2015-03-29,253.14
2015-03-30,249.24
2015-03-31,248.73
2015-04-01,247.54
2015-04-02,254.46
2015-04-03,256.04
2015-04-04,255.26
2015-04-05,260.68
2015-04-06,261.8
2015-04-07,255.81
2015-04-08,253.85
2015-04-09,246.12
2015-04-10,243.69
2015-04-11,239.54
2015-04-12,237.73
2015-04-13,236.94
2015-04-14,224.98
2015-04-15,223.83
2015-04-16,229.67
2015-04-17,228.91
2015-04-18,224.32
2015-04-19,226.35
2015-04-20,226.35
2015-04-21,235.27
2015-04-22,237.91
2015-04-23,236.47
2015-04-24,236.31
2015-04-25,232.56
2015-04-26,226.94
2015-04-27,233.31
2015-04-28,229.5
2015-04-29,227.04
2015-04-30,239.56
2015-05-01,238.97
2015-05-02,235.73
2015-05-03,243.24
2015-05-04,242.64
2015-05-05,239.2
2015-05-06,236.45
2015-05-07,239.1
2015-05-08,246.28
2015-05-09,247.8
2015-05-10,244.07
2015-05-11,244.27
2015-05-12,242.88
2015-05-13,243.7
2015-05-14,237.8
2015-05-15,238.75
2015-05-16,237.7
2015-05-17,238.03
2015-05-18,237.21
2015-05-19,234.15
2015-05-20,234.68
2015-05-21,236.24
2015-05-22,240.97
2015-05-23,241.03
2015-05-24,241.98
2015-05-25,241.02
2015-05-26,238.24
2015-05-27,238.64
2015-05-28,237.82
2015-05-29,237.52
2015-05-30,237.09
2015-05-31,233.25
2015-06-01,231.71
2015-06-02,226.42
2015-06-03,227.4
2015-06-04,226.58
2015-06-05,225.97
2015-06-06,225.72
2015-06-07,226.19
2015-06-08,229.46
2015-06-09,230.95
2015-06-10,229.78
2015-06-11,230.29
2015-06-12,231.06
2015-06-13,232.65
2015-06-14,234.86
2015-06-15,237.84
2015-06-16,251.74
2015-06-17,256.85
2015-06-18,252.11
2015-06-19,250.98
2015-06-20,245.83
2015-06-21,245.22
2015-06-22,247.92
2015-06-23,247.3
2015-06-24,244.34
2015-06-25,243.33
2015-06-26,243.75
2015-06-27,251.34
2015-06-28,251.17
2015-06-29,257.17
2015-06-30,267.87
2015-07-01,265.17
2015-07-02,261.63
2015-07-03,257.08
2015-07-04,261.46
2015-07-05,274.51
2015-07-06,277.42
2015-07-07,271.34
2015-07-08,272.97
2015-07-09,272.33
2015-07-10,294.59
2015-07-11,298.51
2015-07-12,314.39
2015-07-13,310.95
2015-07-14,296.15
2015-07-15,293.25
2015-07-16,291.18
2015-07-17,280.28
2015-07-18,282.53
2015-07-19,275.67
2015-07-20,278.98
2015-07-21,280.55
2015-07-22,277.67
2015-07-23,278.11
2015-07-24,289.25
2015-07-25,290.73
2015-07-26,293.05
2015-07-27,297.77
2015-07-28,296.65
2015-07-29,294.54
2015-07-30,290.13
2015-07-31,288.96
2015-08-01,284.93
2015-08-02,283.03
2015-08-03,285.47
2015-08-04,285.71
2015-08-05,285.5
2015-08-06,281.91
2015-08-07,280.39
2015-08-08,279.93
2015-08-09,267
2015-08-10,267.03
2015-08-11,270.39
2015-08-12,270.67
2015-08-13,266.23
2015-08-14,267.47
2015-08-15,266.67
2015-08-16,262.44
2015-08-17,260.5
2015-08-18,257.99
2015-08-19,237.41
2015-08-20,237.37
2015-08-21,236.43
2015-08-22,234.96
2015-08-23,232.71
2015-08-24,228.14
2015-08-25,226.32
2015-08-26,231.18
2015-08-27,228.64
2015-08-28,235.22
2015-08-29,233.22
2015-08-30,232.07
2015-08-31,231.96
2015-09-01,231.22
2015-09-02,230.58
2015-09-03,229.6
2015-09-04,230.9
2015-09-05,236.14
2015-09-06,242.91
2015-09-07,242.11
2015-09-08,245.78
2015-09-09,244.42
2015-09-10,241.29
2015-09-11,241.17
2015-09-12,240.12
2015-09-13,235.94
2015-09-14,232.44
2015-09-15,259.18
2015-09-16,231.22
2015-09-17,230.28
2015-09-18,234.35
2015-09-19,233.21
2015-09-20,232.37
2015-09-21,231.22
2015-09-22,232.39
2015-09-23,231.84
2015-09-24,235.65
2015-09-25,237.43
2015-09-26,235.4
2015-09-27,234.53
2015-09-28,239.34
2015-09-29,239.8
2015-09-30,237.73
2015-10-01,238.44
2015-10-02,238.54
2015-10-03,239.31
2015-10-04,238.97
2015-10-05,240.38
2015-10-06,246.94
2015-10-07,246.68
2015-10-08,244.25
2015-10-09,244.23
2015-10-10,245.32
2015-10-11,247.24
2015-10-12,247.45
2015-10-13,250.24
2015-10-14,254.28
2015-10-15,255.96
2015-10-16,266.13
2015-10-17,273.58
2015-10-18,271.67
2015-10-19,264.82
2015-10-20,270.83
2015-10-21,270.77
2015-10-22,276.51
2015-10-23,278.68
2015-10-24,281.71
2015-10-25,294.06
2015-10-26,285.3
2015-10-27,296.21
2015-10-28,306.33
2015-10-29,318.17
2015-10-30,334.17
2015-10-31,332.78
2015-11-01,327.47
2015-11-02,365.36
2015-11-03,417.9
2015-11-04,495.56
2015-11-05,447.56
2015-11-06,395.84
2015-11-07,390.59
2015-11-08,389.89
