year,Amanda,Ashley,Betty,Deborah,Dorothy,Helen,Linda,Patricia
1880,241,0,117,12,112,636,27,0
1881,263,0,112,14,109,612,38,0
1882,288,0,123,15,115,838,36,0
1883,287,0,120,16,141,862,49,0
1884,337,0,144,13,163,986,33,6
1885,339,0,155,10,196,1134,60,5
1886,370,0,167,10,230,1267,49,8
1887,338,0,178,15,272,1405,50,10
1888,404,0,214,26,373,1847,77,12
1889,413,0,189,12,377,1909,74,17
1890,392,0,216,24,458,2312,54,11
1891,371,0,239,15,566,2417,78,12
1892,455,0,255,16,626,2936,83,21
1893,387,0,298,24,821,3249,82,28
1894,418,0,298,18,1052,3676,94,36
1895,431,0,350,13,1127,4023,96,35
1896,367,0,342,18,1366,4392,104,37
1897,354,0,367,23,1472,4519,81,49
1898,371,0,421,21,1671,5230,102,47
1899,326,0,410,11,1687,5048,98,56
1900,377,0,664,26,2491,6343,126,89
1901,317,0,474,21,2173,5247,86,68
1902,301,0,580,21,2707,5967,91,85
1903,247,0,596,21,3078,6129,90,79
1904,294,0,707,23,3477,6488,101,124
1905,311,0,807,18,3937,6811,106,121
1906,260,0,865,25,4326,7176,98,157
1907,285,0,1018,21,4967,7579,102,177
1908,260,0,1128,25,5703,8439,93,205
1909,271,0,1082,26,6253,9250,105,233
1910,278,0,1389,33,7318,10479,137,316
1911,280,0,1456,36,8869,11802,130,325
1912,310,0,2011,32,12645,16133,189,504
1913,346,0,2239,42,14674,18889,238,588
1914,375,0,2933,62,18782,23221,219,656
1915,412,0,4182,106,25154,30866,290,895
1916,421,0,5136,90,27415,32661,297,1078
1917,445,5,6639,89,28853,34249,291,1441
1918,397,0,8802,92,32034,36150,322,1760
1919,379,0,10107,70,31734,33705,282,2144
1920,379,0,14017,82,36645,35098,349,2502
1921,392,0,17637,94,39083,34819,367,3382
1922,341,0,20893,71,37711,32507,365,3902
1923,362,0,25990,118,39045,31492,423,4800
1924,341,0,30602,125,39996,31193,454,6958
1925,310,0,32817,82,38572,29168,438,8095
1926,310,0,32959,116,36614,26884,479,8590
1927,234,0,35422,91,35987,25316,516,10553
1928,247,0,36078,130,33728,22936,554,12332
1929,209,0,36669,161,31477,20983,509,13626
1930,196,0,38239,165,30404,19914,493,15749
1931,209,0,36102,158,26521,17657,534,16468
1932,213,0,34411,208,24968,16375,774,17991
1933,199,0,31526,243,22050,14645,786,18625
1934,189,0,31078,280,21280,14099,1001,20847
1935,211,0,28673,279,19400,12778,1197,22876
1936,192,0,25863,299,17668,12232,2439,23912
1937,176,0,25328,323,16571,11452,4380,26837
1938,192,7,25502,410,16348,10833,7047,27555
1939,185,0,23639,443,15170,10417,10714,29704
1940,218,0,22074,469,14874,10201,18368,32661
1941,223,6,20900,608,14561,9889,23715,36901
1942,295,8,21654,676,15032,10013,31611,39454
1943,284,10,21595,788,14785,9799,38437,39620
1944,238,12,19757,1293,13378,8693,38411,36872
1945,280,10,18383,1464,12328,8300,41464,35840
1946,274,7,19714,2470,12796,8852,52708,46295
1947,310,11,18962,5838,12751,8978,99680,51274
1948,306,13,16622,11246,11326,8305,96211,46135
1949,333,11,14946,19208,10406,7709,91010,46337
1950,379,15,13614,29073,9555,7060,80439,47952
1951,409,15,12820,42045,9082,6945,73947,56433
1952,418,24,12125,49809,8608,6470,67092,53090
1953,428,15,11367,52196,8154,6120,61264,51007
1954,428,21,10615,54674,7791,5940,55371,49133
1955,452,8,9928,52314,7241,5596,51279,46210
1956,643,25,9213,47829,6862,5279,48067,43332
1957,667,27,8474,40065,6401,5015,44495,39277
1958,796,38,7709,32936,5539,4763,41898,37932
1959,858,37,7317,29552,5238,4378,40409,35221
1960,977,57,6503,25269,5077,4069,37314,32107
1961,1057,80,5580,24092,4726,3855,35574,28867
1962,948,95,4765,22893,4075,3587,31462,26538
1963,1035,108,4154,21062,3791,3340,27715,25363
1964,1275,180,4067,19306,3535,3095,23633,26087
1965,1650,218,3565,17083,2960,2804,19339,23551
1966,2329,263,2948,16250,2667,2449,15560,20115
1967,2663,386,2543,14007,2316,2153,13199,17746
1968,2430,544,2134,12286,2084,1881,11368,15806
1969,2817,643,2133,11186,1778,1857,10248,14957
1970,3550,932,1967,9853,1802,1715,8734,13404
1971,4133,1164,1763,8675,1626,1441,7379,11466
1972,4181,1176,1366,6279,1277,1245,5746,9602
1973,5627,1253,1323,4984,1175,1133,4735,8477
1974,7476,1626,1130,4345,1100,1140,4085,8040
1975,12653,1988,1021,3415,975,1057,3525,7056
1976,15591,2292,908,2994,983,942,3141,6017
1977,18280,2706,807,2677,934,992,2909,5907
1978,20522,3484,715,2479,913,922,2936,5498
1979,31927,4450,711,2181,889,879,2739,5651
1980,35819,7296,658,1938,895,909,2805,5309
1981,34373,8877,662,1905,787,896,2730,5285
1982,34210,14851,635,1842,828,875,2787,5167
1983,33754,33290,563,1605,759,844,2473,4922
1984,33906,38759,503,1468,682,859,2334,4475
1985,39050,47007,502,1401,719,809,2113,4398
1986,40522,49674,407,1284,629,766,1951,4246
1987,41786,54845,435,1203,614,815,1929,3913
1988,39451,49963,395,1056,608,775,1844,3798
1989,36827,47585,399,1076,620,857,1844,3606
1990,34405,45553,406,1094,596,861,1658,3578
1991,28887,43482,345,1014,498,773,1608,3418
1992,25034,38452,296,919,508,827,1580,2951
1993,20809,34847,292,797,476,868,1487,2660
1994,18715,30278,275,740,442,848,1281,2363
1995,16345,26603,234,660,376,837,1233,2160
1996,13973,23676,217,633,350,900,987,1970
1997,12239,20895,189,638,315,812,1095,1781
1998,10908,19871,194,553,312,832,970,1704
1999,9741,18132,182,524,335,841,898,1532
2000,8550,17997,174,545,312,890,849,1392
2001,6963,16524,153,489,317,884,837,1223
2002,6132,15339,127,474,263,875,769,1113
2003,5339,14512,142,421,291,783,739,1011
2004,4677,14370,136,427,288,860,727,997
2005,4088,13270,132,425,234,960,745,877
2006,3355,12340,135,423,265,948,698,775
2007,3038,11423,134,371,262,931,659,725
2008,2439,9402,137,355,242,884,611,629
2009,1952,7811,148,346,226,826,550,564
2010,1655,6306,132,354,240,703,476,479
2011,1409,5398,167,332,276,729,488,427
2012,1228,4696,140,336,277,772,448,394
2013,1064,3936,174,329,334,738,441,419
2014,1048,3547,193,369,382,801,470,377
2015,1013,3409,186,346,395,757,423,346
